Date	Time (HH:MM:SS)	Time (s)	Ch1	Ch2	Ch3	Ch4
1/28/2019	05:53:21	2.84	4.091	4.2497	4.2095	4.2559
1/28/2019	05:53:23	5.16	4.0897	4.2488	4.208	4.2536
1/28/2019	05:53:25	6.56	4.0882	4.2499	4.2088	4.2504
1/28/2019	05:53:26	8.19	4.0862	4.2493	4.2088	4.2483
1/28/2019	05:53:28	9.97	4.0873	4.2482	4.2098	4.2467
1/28/2019	05:53:30	12.05	4.0875	4.2492	4.2104	4.2471
1/28/2019	05:53:32	13.8	4.0887	4.2509	4.2076	4.248
1/28/2019	05:53:34	15.77	4.087	4.251	4.2086	4.2509
1/28/2019	05:53:36	17.39	4.0848	4.2484	4.2076	4.2505
1/28/2019	05:53:38	19.44	4.0824	4.2466	4.2089	4.2498
1/28/2019	05:53:39	21	4.0802	4.2469	4.2076	4.2467
1/28/2019	05:53:41	22.77	4.0792	4.2479	4.2076	4.2477
1/28/2019	05:53:43	24.55	4.0768	4.2479	4.2072	4.2494
1/28/2019	05:53:45	26.73	4.0765	4.2483	4.2063	4.2501
1/28/2019	05:53:46	28.12	4.076	4.2456	4.2054	4.2484
1/28/2019	05:53:48	29.72	4.0764	4.2464	4.205	4.2463
1/28/2019	05:53:50	31.28	4.0762	4.2453	4.2063	4.2473
1/28/2019	05:53:51	32.59	4.0768	4.247	4.2078	4.2495
1/28/2019	05:53:52	34.12	4.079	4.2464	4.2079	4.2505
1/28/2019	05:53:54	35.56	4.0797	4.2458	4.2068	4.2498
1/28/2019	05:53:55	37.12	4.0812	4.2438	4.2081	4.2476
1/28/2019	05:53:57	38.5	4.0825	4.2422	4.2088	4.2478
1/28/2019	05:53:59	40.36	4.0856	4.2421	4.2091	4.2488
1/28/2019	05:54:01	42.48	4.0872	4.2413	4.2081	4.2515
1/28/2019	05:54:03	44.23	4.088	4.2413	4.2068	4.2525
1/28/2019	05:54:04	45.81	4.0885	4.2402	4.206	4.2513
1/28/2019	05:54:05	47.12	4.0888	4.2398	4.2069	4.2526
1/28/2019	05:54:07	48.72	4.0876	4.2401	4.2081	4.2523
1/28/2019	05:54:08	50.02	4.086	4.2406	4.2083	4.2538
1/28/2019	05:54:10	51.42	4.0848	4.2418	4.2072	4.2508
1/28/2019	05:54:11	52.91	4.0844	4.2411	4.2057	4.2485
1/28/2019	05:54:13	55.16	4.0821	4.2419	4.2049	4.249
1/28/2019	05:54:15	56.58	4.0806	4.2413	4.2034	4.2506
1/28/2019	05:54:16	57.98	4.0793	4.2415	4.2045	4.2508
1/28/2019	05:54:18	59.48	4.0797	4.2415	4.2073	4.247
1/28/2019	05:54:19	60.89	4.0794	4.2415	4.2059	4.2437
1/28/2019	05:54:21	62.36	4.0786	4.2406	4.2062	4.2441
1/28/2019	05:54:22	63.72	4.0778	4.2395	4.2046	4.2445
1/28/2019	05:54:23	65.14	4.0761	4.2402	4.2062	4.2458
1/28/2019	05:54:25	66.59	4.0761	4.2396	4.2068	4.2442
1/28/2019	05:54:26	68.02	4.0757	4.2397	4.205	4.2438
1/28/2019	05:54:28	69.41	4.0774	4.2379	4.2037	4.2453
1/28/2019	05:54:29	70.81	4.0787	4.237	4.2013	4.2472
1/28/2019	05:54:30	72.11	4.0796	4.2366	4.202	4.2508
1/28/2019	05:54:32	73.5	4.0791	4.2383	4.2045	4.2527
1/28/2019	05:54:33	74.78	4.079	4.2395	4.2062	4.2508
1/28/2019	05:54:34	76.12	4.0799	4.2383	4.2075	4.2502
1/28/2019	05:54:36	77.59	4.08	4.2371	4.2058	4.249
1/28/2019	05:54:37	78.97	4.0812	4.2361	4.2047	4.2505
1/28/2019	05:54:39	80.28	4.0831	4.2353	4.2032	4.2497
1/28/2019	05:54:40	81.59	4.0863	4.234	4.2021	4.2497
1/28/2019	05:54:41	82.92	4.0869	4.2339	4.2013	4.2513
1/28/2019	05:54:43	84.39	4.0872	4.2344	4.2014	4.2529
1/28/2019	05:54:44	85.81	4.085	4.2347	4.2026	4.2498
1/28/2019	05:54:45	87.17	4.0838	4.2337	4.2033	4.2485
1/28/2019	05:54:47	88.48	4.0796	4.2341	4.204	4.2495
1/28/2019	05:54:48	90.03	4.0796	4.2332	4.2032	4.2504
1/28/2019	05:54:50	91.45	4.0797	4.2336	4.2032	4.2526
1/28/2019	05:54:51	92.78	4.0808	4.2319	4.2026	4.2512
1/28/2019	05:54:52	94.17	4.079	4.2316	4.2026	4.2508
1/28/2019	05:54:54	95.44	4.0777	4.233	4.202	4.2495
1/28/2019	05:54:55	96.75	4.079	4.2344	4.2013	4.2481
1/28/2019	05:54:56	98.02	4.0805	4.2351	4.2014	4.2515
1/28/2019	05:54:58	99.34	4.0797	4.2366	4.2016	4.2522
1/28/2019	05:54:59	100.77	4.0812	4.2368	4.2016	4.2508
1/28/2019	05:55:00	102.19	4.0815	4.2375	4.2021	4.2484
1/28/2019	05:55:02	103.5	4.0837	4.2354	4.2024	4.2454
1/28/2019	05:55:03	104.81	4.0831	4.2348	4.201	4.2434
1/28/2019	05:55:04	106.14	4.0841	4.234	4.2024	4.2434
1/28/2019	05:55:06	107.48	4.0834	4.233	4.2031	4.2433
1/28/2019	05:55:07	109	4.0829	4.2309	4.2055	4.2456
1/28/2019	05:55:09	110.28	4.0823	4.2293	4.205	4.2465
1/28/2019	05:55:10	111.73	4.0856	4.228	4.2036	4.2474
1/28/2019	05:55:12	113.31	4.0867	4.2281	4.2039	4.2485
1/28/2019	05:55:13	114.75	4.0874	4.2283	4.203	4.2487
1/28/2019	05:55:15	116.23	4.087	4.227	4.2035	4.2485
1/28/2019	05:55:16	117.86	4.0854	4.2269	4.2017	4.249
1/28/2019	05:55:18	119.94	4.0844	4.2251	4.2019	4.2481
1/28/2019	05:55:20	121.31	4.0823	4.2265	4.2023	4.2485
1/28/2019	05:55:21	122.72	4.0809	4.2251	4.2029	4.2456
1/28/2019	05:55:22	124.17	4.0799	4.2256	4.2017	4.2469
1/28/2019	05:55:24	125.58	4.0794	4.2248	4.2007	4.2479
1/28/2019	05:55:25	126.94	4.0796	4.2278	4.2007	4.2508
1/28/2019	05:55:27	128.45	4.0816	4.2288	4.2009	4.2476
1/28/2019	05:55:28	129.89	4.0821	4.2303	4.2016	4.246
1/28/2019	05:55:30	131.28	4.0856	4.2288	4.1997	4.2472
1/28/2019	05:55:31	132.73	4.0848	4.2285	4.1996	4.2505
1/28/2019	05:55:32	134.08	4.0834	4.2266	4.1977	4.2523
1/28/2019	05:55:34	135.33	4.0813	4.2255	4.199	4.2509
1/28/2019	05:55:35	136.73	4.08	4.224	4.1994	4.2516
1/28/2019	05:55:37	138.31	4.0777	4.223	4.2003	4.2512
1/28/2019	05:55:38	140.14	4.0748	4.2231	4.1984	4.2515
1/28/2019	05:55:40	142.03	4.0707	4.2246	4.1977	4.2502
1/28/2019	05:55:42	143.53	4.0695	4.2238	4.1981	4.2519
1/28/2019	05:55:43	144.97	4.0688	4.2231	4.1994	4.2525
1/28/2019	05:55:45	146.66	4.0717	4.2209	4.1987	4.253
1/28/2019	05:55:46	148.08	4.0732	4.2207	4.1972	4.2508
1/28/2019	05:55:48	149.31	4.073	4.2193	4.1977	4.2509
1/28/2019	05:55:49	150.67	4.0735	4.2181	4.1982	4.2501
1/28/2019	05:55:51	152.3	4.0752	4.2191	4.1998	4.2492
1/28/2019	05:55:52	153.78	4.0761	4.219	4.1988	4.2478
1/28/2019	05:55:54	155.22	4.0729	4.2197	4.1994	4.249
1/28/2019	05:55:55	156.95	4.0711	4.2193	4.1986	4.2485
1/28/2019	05:55:57	158.73	4.0702	4.2199	4.1994	4.2476
1/28/2019	05:55:58	160.17	4.0713	4.2191	4.1987	4.2466
1/28/2019	05:56:00	161.58	4.0723	4.2188	4.1993	4.2445
1/28/2019	05:56:01	163	4.074	4.2163	4.1994	4.2466
1/28/2019	05:56:03	164.37	4.0772	4.215	4.1974	4.245
1/28/2019	05:56:04	166	4.0772	4.2133	4.1955	4.2483
1/28/2019	05:56:06	167.52	4.0771	4.2137	4.1955	4.2473
1/28/2019	05:56:07	168.94	4.078	4.2144	4.197	4.247
1/28/2019	05:56:09	170.39	4.0784	4.2156	4.199	4.2487
1/28/2019	05:56:10	172	4.081	4.2155	4.1983	4.247
1/28/2019	05:56:12	173.37	4.0803	4.2143	4.2006	4.2477
1/28/2019	05:56:13	174.8	4.0819	4.2132	4.1987	4.2459
1/28/2019	05:56:15	176.41	4.081	4.2137	4.1988	4.2446
1/28/2019	05:56:16	177.91	4.0819	4.2147	4.1973	4.243
1/28/2019	05:56:18	179.34	4.0826	4.215	4.1977	4.2421
1/28/2019	05:56:19	180.94	4.0844	4.2146	4.1974	4.2454
1/28/2019	05:56:21	182.44	4.0829	4.2125	4.1962	4.2474
1/28/2019	05:56:23	184.27	4.0839	4.2111	4.1949	4.247
1/28/2019	05:56:24	185.83	4.0848	4.2089	4.1944	4.2452
1/28/2019	05:56:26	187.34	4.0888	4.2093	4.1944	4.2474
1/28/2019	05:56:27	188.78	4.0902	4.2077	4.1964	4.2515
1/28/2019	05:56:28	190.08	4.0901	4.2079	4.1983	4.2529
1/28/2019	05:56:30	191.61	4.0901	4.2068	4.1991	4.252
1/28/2019	05:56:31	193.2	4.0895	4.2071	4.199	4.2492
1/28/2019	05:56:33	194.92	4.0885	4.2089	4.1986	4.2484
1/28/2019	05:56:35	196.27	4.0877	4.2119	4.1975	4.2476
1/28/2019	05:56:36	197.58	4.0882	4.2135	4.1964	4.2455
1/28/2019	05:56:37	199.06	4.0895	4.2124	4.1944	4.2473
1/28/2019	05:56:39	200.77	4.0912	4.2127	4.1952	4.2453
1/28/2019	05:56:41	202.22	4.0914	4.2124	4.1948	4.2476
1/28/2019	05:56:42	203.48	4.0923	4.2123	4.1967	4.2471
1/28/2019	05:56:43	205.06	4.0915	4.2101	4.1971	4.248
1/28/2019	05:56:45	206.53	4.0918	4.2092	4.1987	4.2466
1/28/2019	05:56:46	207.98	4.0914	4.208	4.1997	4.2449
1/28/2019	05:56:48	209.28	4.0912	4.2071	4.1988	4.2456
1/28/2019	05:56:49	210.72	4.0921	4.2059	4.1973	4.2456
1/28/2019	05:56:51	212.39	4.0924	4.2055	4.1952	4.246
1/28/2019	05:56:52	213.97	4.0946	4.2064	4.1942	4.2476
1/28/2019	05:56:54	215.52	4.0946	4.2057	4.1951	4.2499
1/28/2019	05:56:55	216.89	4.0947	4.2065	4.1948	4.2522
1/28/2019	05:56:57	218.42	4.0939	4.2052	4.1964	4.2497
1/28/2019	05:56:58	220.05	4.0927	4.2069	4.1962	4.2478
1/28/2019	05:57:00	221.41	4.0915	4.2069	4.1977	4.2471
1/28/2019	05:57:01	222.86	4.0895	4.2075	4.198	4.2477
1/28/2019	05:57:03	224.34	4.0898	4.2056	4.1974	4.2474
1/28/2019	05:57:04	225.91	4.0896	4.2029	4.1973	4.2441
1/28/2019	05:57:06	227.23	4.0877	4.2012	4.1973	4.2435
1/28/2019	05:57:07	228.78	4.0845	4.2029	4.1986	4.2443
1/28/2019	05:57:09	230.33	4.0848	4.2046	4.1967	4.2459
1/28/2019	05:57:10	232.2	4.0848	4.2046	4.1951	4.2471
1/28/2019	05:57:12	233.73	4.086	4.2021	4.1954	4.2481
1/28/2019	05:57:13	235.09	4.0842	4.2012	4.1963	4.2505
1/28/2019	05:57:15	236.45	4.0838	4.2015	4.1973	4.2526
1/28/2019	05:57:16	238.08	4.0844	4.2022	4.1952	4.2518
1/28/2019	05:57:18	239.55	4.0839	4.2015	4.1967	4.2516
1/28/2019	05:57:19	241.09	4.0839	4.2011	4.1942	4.246
1/28/2019	05:57:21	242.75	4.0816	4.201	4.1937	4.2462
1/28/2019	05:57:23	244.62	4.0819	4.2016	4.1906	4.2449
1/28/2019	05:57:25	246.28	4.0826	4.1997	4.1918	4.2481
1/28/2019	05:57:26	247.61	4.0819	4.1984	4.1915	4.2464
1/28/2019	05:57:27	249.2	4.0807	4.1972	4.1928	4.2463
1/28/2019	05:57:29	250.61	4.0787	4.1984	4.1942	4.2435
1/28/2019	05:57:31	253.09	4.0785	4.2002	4.1947	4.2448
1/28/2019	05:57:33	254.47	4.0772	4.2016	4.1935	4.2439
1/28/2019	05:57:34	255.73	4.0779	4.2006	4.1931	4.2465
1/28/2019	05:57:35	257.17	4.0794	4.1999	4.1947	4.2444
1/28/2019	05:57:37	258.59	4.0796	4.1994	4.1948	4.2435
1/28/2019	05:57:38	259.98	4.0782	4.1994	4.1924	4.2435
1/28/2019	05:57:39	261.2	4.0758	4.1972	4.1919	4.2451
1/28/2019	05:57:41	262.78	4.0749	4.1952	4.1927	4.2463
1/28/2019	05:57:43	264.39	4.0752	4.1958	4.1938	4.2474
1/28/2019	05:57:44	265.77	4.0746	4.1958	4.1934	4.2496
1/28/2019	05:57:45	267.05	4.0739	4.1963	4.1932	4.2491
1/28/2019	05:57:47	268.41	4.0731	4.1956	4.1929	4.2452
1/28/2019	05:57:48	269.64	4.0724	4.1976	4.1928	4.2411
1/28/2019	05:57:49	271	4.0732	4.1983	4.1924	4.2407
1/28/2019	05:57:51	272.59	4.0721	4.1992	4.1931	4.2411
1/28/2019	05:57:52	274.06	4.0726	4.1973	4.1937	4.242
1/28/2019	05:57:54	275.75	4.0724	4.1953	4.1925	4.2413
1/28/2019	05:57:55	277.11	4.0708	4.1945	4.1911	4.2421
1/28/2019	05:57:57	278.45	4.0694	4.1943	4.1905	4.2398
